pour ou contre;for or against; pour ou contre viande
pouvoir;to be able to;
pratique;practical;
préférer;to prefer;
prendre;to take;
le prénom; first name;
préparer;to prepare;
la présentation; appearance;
principalement;mainly;
privé;private;
le prix;price;
probable;probable;
le problème;problem;
prochain;next;
le professeur;teacher;
la profession;profession;
le projet;plan;
se promener;to go for a walk;
la publicité;advertising;
puis;then;
le pull;sweater;
la pyramide;pyramid;
le quai;quay;
la quantité;quantity;
québécois;Quebecen;
quelque chose;something;
qui est-ce;who is it;
quitter; to leave;
raconter;to tell;
la radio;radio;
avoir raison;to be right;
le rap;rap;
récent;recent;
la réception;reception;
la référence;reference;
regarder; to watch;
remercier; to thank (express gratitude); Elle l'a remercié pour ses fleurs;
rencontrer; to meet;
le redez-vous; appointment;
les renseignement; information;
rentrer; get in, come in; 
le repas; meal;
répondre; to answer;
le reportage; report (news);
se reposer;  to have a rest; Je vais rester à la maison ce soir et prendre un peu de repos avant la fête.;
réserver; to reserve;
le responsable; manager;
le restaurant; restaurant;
rester; to stay, to remain;
le résultat; result;
retourner; to return;
la retraite; retirement;
la réunion; meeting;
réussir; to succeed; 
rêver; to dream;
le rez-de-chaussée;the ground floor
le riz; rice;
la roue; wheel;
rouge; red;
router; to travel, drive;
la route;the road;
la rue;the street;
le sac;the bag;
la salade;the salad;
la salle de bains;the bathroom;
le salon;the living room;
le séjour;the stay;
la semaine;the week;
le serveur;the waiter;
la serveuse;the waitress;
seulement; only;
le sexe;the sex;
s'il vous plaît; please;
le ski; skiing;
la société;the company;
la soeur;the sister;
le soir;the evening;
la soirée;the evening;
le soleil;the sun;
sombre; dark;
sortir; to exit;
souriant; smiling;
le souvenir;the memory;
se souvenir; to remember;
souvent; often;
spectacle; show, play;
le sport;the sport;
le stress;the stress;
le sucre;the sugar;
le sud;the south;
suivre; to follow;
super; great, fantastic;
supprimer; to get rid of;
sûr; sure;
la surprise;the surprise;
le symbole;the symbol;
sympa; nice, friendly;
la table; the table;
la taille; the size;
le tapis; the carpet;
tard;late;
le tarif; the price;
le téléphone;the telephone;
la télévision;television;
le témoignage; the report, account;
téléphone porable; the mobile phone;
téléphoner; to phone;
la température; the temperature;
le temps; the weather;
tenir; to hold;
le tennis; the tennis;
se terminer; to end;
la terrasse; the terrace;
terrifié; terrified;
le thé; the tea;
le théatre; the theatre;
les toilettes; the toilets;
tomber; to fall;
tôt;early;
la tour; the tower;
le tourisme;the tourism;
tout; all;
tout de suite; immediately;
tout lt monde; everyone;
le train; the train;
tranquille; tranquil;
travailler; to work;
faires des travaux; to have done work;
traverser;to cross;
très;very;
triste;sad;
trop;too much;
trouver;to find;
le truc; the thing;
le T-shirt; the tee-shirt;
le type; the guy; 
un peu; a little;
utiliser; to user;
les vacances; the holidays;
le vase; the vase;
le vélo; the bicycle;
vendre; to sell;
vendredi; friday;
venir; to come;
le verre;the glass;
vers;at about (time);
le vêtement;the clothing;On porte des vêtements pour avoir chaud et être beaux;
la viande;the meat;
la vie;the life;
la ville;the city;
le vin; the wine;
visiter;to visit;
vite;quickly;
vivement;long live;
vivre;to live;
la voie;the platform;
voilà;there you are;
voir;to see;
le voisin;the neighbour (m);
la voisine;the neighbour (f);
la voiture; the car;
vouloir;to want;
le voyage;the journey, travel;
vraiment;really;
le week-end; the weekend;
le yaourt; the yoghurt;
